Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;01707;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00101;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00501;Disponível;R$ 244.236,00;005;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00901;Disponível;R$ 249.078,00;009;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01306;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01605;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00010;Disponível;R$ 238.186,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00509;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00810;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01109;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01309;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01509;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01712;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00207;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00707;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01008;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
