Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;01409;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00208;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00607;Disponível;R$ 269.824,00;006;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00908;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00011;Disponível;R$ 238.186,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00201;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00601;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01001;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01401;Venda em Processo;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00005;Disponível;R$ 228.504,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00106;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00403;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00504;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00605;Disponível;R$ 269.824,00;006;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00803;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01005;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01203;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01206;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01405;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01603;Venda em Processo;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00410;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00809;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01010;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01502;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01602;Venda em Processo;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00308;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00608;Disponível;R$ 269.824,00;006;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00808;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01708;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00511;Disponível;R$ 244.236,00;005;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01011;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01511;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00111;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00611;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01111;Disponível;R$ 247.342,00;011;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01611;Disponível;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00103;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00306;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00503;Disponível;R$ 244.236,00;005;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00903;Venda em Processo;R$ 249.078,00;009;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01006;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01204;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01503;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01506;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01302;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01412;Disponível;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01210;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01410;Disponível;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00408;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00907;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01208;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01407;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00211;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00711;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01211;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01711;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00003;Disponível;R$ 238.186,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00105;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00406;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00606;Disponível;R$ 269.824,00;006;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00706;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00904;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00602;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01404;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01505;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01705;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00912;Disponível;R$ 249.078,00;009;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01002;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00310;Disponível;R$ 241.816,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01102;Disponível;R$ 247.342,00;011;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01212;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00909;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01209;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01710;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00108;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00006;Disponível;R$ 228.504,00;000;2 DORM REV PNE S/ VG - MCMV FX2
